event_id,ASD6,ASD5,ASD4,ASD3,ASD2,ASC6,ASC5,ASC4,ASC3,ASC2,ASU6,ASU5,ASU4,ASU3,ASU2,SSD6,SSD5,SSD4,SSD3,SSD2,SSC6,SSC5,SSC4,SSC3,SSC2,SSU6,SSU5,SSU4,SSU3,SSU2,DSD6,DSD5,DSD4,DSD3,DSD2,DSC6,DSC5,DSC4,DSC3,DSC2,DSU6,DSU5,DSU4,DSU3,DSU2,AFD6,AFD5,AFD4,AFD3,AFD2,AFC6,AFC5,AFC4,AFC3,AFC2,AFU6,AFU5,AFU4,AFU3,AFU2,SFD6,SFD5,SFD4,SFD3,SFD2,SFC6,SFC5,SFC4,SFC3,SFC2,SFU6,SFU5,SFU4,SFU3,SFU2,BFD6,BFD5,BFD4,BFD3,BFD2,BFC6,BFC5,BFC4,BFC3,BFC2,BFU6,BFU5,BFU4,BFU3,BFU2,A_AC6,A_AC5,A_AC4,A_AC3,A_AC2,A_AD6,A_AD5,A_AD4,A_AD3,A_AD2,A_AU6,A_AU5,A_AU4,A_AU3,A_AU2,A_BC6,A_BC5,A_BC4,A_BC3,A_BC2,A_BD6,A_BD5,A_BD4,A_BD3,A_BD2,A_BU6,A_BU5,A_BU4,A_BU3,A_BU2,D_AC6,D_AC5,D_AC4,D_AC3,D_AC2,D_AD6,D_AD5,D_AD4,D_AD3,D_AD2,D_AU6,D_AU5,D_AU4,D_AU3,D_AU2,D_BC6,D_BC5,D_BC4,D_BC3,D_BC2,D_BD6,D_BD5,D_BD4,D_BD3,D_BD2,D_BU6,D_BU5,D_BU4,D_BU3,D_BU2,N_AC6,N_AC5,N_AC4,N_AC3,N_AC2,N_AD6,N_AD5,N_AD4,N_AD3,N_AD2,N_AU6,N_AU5,N_AU4,N_AU3,N_AU2,N_BC6,N_BC5,N_BC4,N_BC3,N_BC2,N_BD6,N_BD5,N_BD4,N_BD3,N_BD2,N_BU6,N_BU5,N_BU4,N_BU3,N_BU2,S_AC6,S_AC5,S_AC4,S_AC3,S_AC2,S_AD6,S_AD5,S_AD4,S_AD3,S_AD2,S_AU6,S_AU5,S_AU4,S_AU3,S_AU2,S_BC6,S_BC5,S_BC4,S_BC3,S_BC2,S_BD6,S_BD5,S_BD4,S_BD3,S_BD2,S_BU6,S_BU5,S_BU4,S_BU3,S_BU2,Crash
18101,89.715,88.81,87.37,88.3,88.55,93.18,91.915,92.25,93.1,92.665,89.16,86.835,85.11,89.375,90.04,13.76580092,11.55637919,14.28580064,13.188404,15.35100974,15.03850391,13.4277055,14.06006757,14.56090657,12.79774492,13.1610182,10.71327564,11.74435609,12.96039641,12.48768994,10.39333333,8.393333333,9.566666667,9.066666667,11.18,11.12666667,10.61333333,10.93333333,11.74,12.12666667,10.29333333,7.926666667,7.48,8.993333333,9.58,35.2,47.0,47.2,48.4,42.8,28.2,32.6,36.8,32.0,30.2,44.8,59.2,67.8,48.8,46.2,3.655133376,11.62755348,7.756287772,15.89465319,4.308131846,2.13541565,6.468384652,8.376156637,5.830951895,4.833218389,5.878775383,8.840814442,18.28004376,11.16064514,9.516301803,0.363636364,0.319148936,0.351694915,0.384297521,0.294392523,0.524822695,0.478527607,0.456521739,0.54375,0.437086093,0.294642857,0.300675676,0.321533923,0.340163934,0.29004329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17335184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20700265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,37.983337,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,27.273336,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0
13904,83.2059875,79.374875,81.667225,81.522825,77.4345,87.58525,83.5525,85.9655,85.8135,81.51,92.195,87.95,90.49,90.33,85.8,11.88738367,9.690870854,9.155856941,9.793605488,9.261910374,12.51303545,10.20091669,9.637744148,10.30905841,9.749379342,13.17161626,10.73780704,10.14499384,10.85164043,10.26250457,8.712133333,5.8121,6.973316667,6.7146,7.123733333,9.170666666,6.118,7.340333334,7.068,7.498666666,9.653333333,6.44,7.726666667,7.44,7.893333333,40.793,46.7495,46.0275,48.374,53.789,42.94,49.21,48.45,50.92,56.62,45.2,51.8,51.0,53.6,59.6,6.237052068,6.567819348,4.566328941,6.18986058,6.572778065,6.565317966,6.913494051,4.806662043,6.515642716,6.918713753,6.910861017,7.277362159,5.059644256,6.85857128,7.282856582,0.043926991,0.038330115,0.031852941,0.057248134,0.06057047,0.046238938,0.04034749,0.033529412,0.060261194,0.063758389,0.048672566,0.042471042,0.035294118,0.063432836,0.067114094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25044283,0.29930629,0.0,0.2255725,0.0,0.27664486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,1,0,0,0,0,0,0,0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.638977,24.911649333333333,32.0,26.967112,32.0,30.37354,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0
33301,91.735,92.465,91.2,93.625,92.115,91.63,90.86,90.005,93.235,91.11,96.015,93.655,93.49,96.595,95.2,13.30061183,14.81810632,14.26569311,15.66119009,14.74232936,12.73998038,14.88739064,15.53774356,16.05712537,15.69967834,12.18159575,14.80254961,16.66255983,15.21589547,14.8833128,9.646666667,11.0,10.84,12.62,10.83333333,9.713333333,11.38666667,12.18,12.58666667,12.2,9.58,11.09333333,12.50666667,11.66666667,11.39333333,45.6,42.4,40.6,36.6,41.8,49.4,48.0,43.4,36.4,45.2,50.4,47.6,45.0,38.2,47.2,5.314132102,4.079215611,7.761443165,6.248199741,12.27028932,8.8,7.64198927,12.175385,4.363484846,10.32279032,6.529931087,9.134549797,12.72792206,4.308131846,11.30309692,0.188596491,0.212264151,0.162561576,0.158469945,0.186602871,0.206477733,0.166666667,0.179723502,0.153846154,0.163716814,0.162698413,0.163865546,0.155555556,0.109947644,0.177966102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25288957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,23.243334,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0
30202,92.5,92.5,92.5,92.5,92.5,97.725,99.51,99.155,104.095,101.37,98.995,100.075,98.5,104.72,100.53,12.99038106,12.99038106,12.99038106,12.99038106,12.99038106,13.25099525,15.27026195,16.14674812,13.33140934,14.0212018,13.46545488,15.26000901,15.58293939,12.81423427,15.62242299,10.0,10.0,10.0,10.0,10.0,10.10666667,11.24,11.15333333,9.533333333,8.7,9.906666667,10.97333333,11.87333333,11.22666667,9.373333333,26.0,27.4,26.4,19.4,20.8,27.2,29.8,28.0,22.6,23.8,28.4,32.2,29.6,25.8,26.8,6.61957875,1.477636373,3.402987217,5.863286881,2.359722991,7.138627319,4.308131846,5.329165038,4.586937976,3.310589071,7.657675888,7.138627319,7.255342859,3.310589071,4.261455151,0.162178956,0.130809956,0.088223939,0.143650956,0.138341904,0.169117647,0.127516779,0.128571429,0.14159292,0.151260504,0.176056338,0.124223602,0.168918919,0.139534884,0.164179104,0.0,0.0,0.0,0.27855235,0.0,0.0,0.0,0.17168342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,32.0,32.0,29.439917,32.0,32.0,32.0,33.49321,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0
23801,93.445,97.72,101.515,99.035,97.01,98.11725,102.606,106.59075,103.98675,101.8605,103.0231125,107.7363,111.9202875,109.1860875,106.953525,10.81232977,10.42312813,11.44697668,10.10699139,10.42937678,11.35294626,10.94428454,12.01932551,10.61234096,10.95084562,11.92059357,11.49149876,12.62029179,11.14295801,11.4983879,7.133333333,6.62,6.1,6.906666667,6.66,7.49,6.951,6.405,7.252,6.993,7.8645,7.29855,6.72525,7.597333334,7.34265,43.0,43.0,39.2,39.2,44.6,45.15,45.15,41.16,41.16,46.83,47.4075,47.4075,43.218,43.12,49.1715,4.69041576,8.270429251,3.815756806,5.035871325,10.13114011,4.924936548,8.683950714,4.006544646,5.287664891,10.63769712,5.171183375,9.118148249,4.206871879,5.539458458,11.16958197,0.213953488,0.172093023,0.147959184,0.158163265,0.197309417,0.224651162,0.180697674,0.155357143,0.166071428,0.207174888,0.235883721,0.189732558,0.163125,0.173979592,0.217533632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17625234,0.0,0.0,0.0,0.0,0.0,0.0,0.23759387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20292331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,28.795254,32.0,32.0,32.0,32.0,32.0,32.0,28.803335,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,25.613335,32.0,32.0,32.0,0
35304,82.755,80.225,88.625,83.67,83.74,86.89275,84.23625,93.05625,87.8535,87.927,91.2373875,88.4480625,97.7090625,92.246175,92.32335,10.96305044,10.99472032,11.91783852,14.54407439,10.11614551,11.51120296,11.54445634,12.51373045,15.27127811,10.62195279,12.08676311,12.12167915,13.13941697,16.03484201,11.15305042,8.093333333,7.326666667,8.113333333,10.93333333,6.233333333,8.498,7.693,8.519,11.48,6.545,8.9229,8.07765,8.94495,12.02666666,6.87225,51.0,50.2,40.4,40.6,52.6,53.55,52.71,42.42,42.63,55.23,56.2275,55.3455,44.541,44.66,57.9915,5.54977477,6.705221846,6.437390776,6.887670143,9.264987858,5.827263509,7.040482938,6.759260315,7.23205365,9.728237251,6.118626684,7.392507085,7.097223331,7.576437157,10.21464911,0.262745098,0.250996016,0.168316832,0.24137931,0.209125475,0.275882353,0.263545817,0.176732674,0.253448276,0.219581749,0.289676471,0.276723108,0.185569307,0.265517241,0.230560836,0.0,0.0,0.0,0.0,0.20983471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16035082,0.15082802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,32.0,32.0,32.0,21.514002,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,36.381447,31.402016,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0
2604,95.33,97.11,95.775,95.49,98.07,83.615,84.02,83.78,80.4,83.915,92.045,93.92,92.305,91.455,93.01,12.2957757,14.04300182,14.36415243,13.81020999,12.96638346,10.34438374,11.19632082,11.02454534,12.25022449,9.81678537,12.57817455,14.75546001,15.08308573,15.27326013,13.30777592,9.126666667,10.15333333,10.81333333,9.693333333,8.326666667,10.98,9.093333333,6.92,10.43333333,6.426666667,8.753333333,10.41333333,10.16666667,11.26,9.506666667,25.6,19.8,16.8,23.4,21.6,23.6,20.8,17.8,22.2,22.4,24.4,23.4,21.0,23.2,24.4,6.85857128,4.578209257,7.194442299,5.678027827,3.006659276,4.630334761,4.4,7.93473377,4.833218389,2.727636339,4.029888336,6.590902821,6.0,3.655133376,4.363484846,0.3671875,0.232323232,0.273809524,0.316239316,0.268518519,0.338983051,0.278846154,0.213483146,0.216216216,0.232142857,0.43442623,0.290598291,0.39047619,0.370689655,0.270491803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22334844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,19.97264,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0
36510,81.415,84.21,80.135,80.965,87.375,90.0,90.0,90.0,90.0,90.0,98.585,95.79,99.865,99.035,92.625,15.58018854,15.38274683,16.02888876,16.26958128,14.73091562,10.0,10.0,10.0,10.0,10.0,4.41981146,4.61725317,3.97111124,3.73041872,5.26908438,11.85333333,11.81333333,12.16666667,12.54666667,9.153333333,12.446,12.404,12.775,13.174,9.611,13.0683,13.0242,13.41375,13.80133334,10.09155,50.4,43.8,50.2,50.0,41.0,52.92,45.99,52.71,52.5,43.05,55.566,48.2895,55.3455,55.0,45.2025,3.878143886,9.130169768,6.910861017,11.00908716,9.879271228,4.07205108,9.586678256,7.256404068,11.55954152,10.37323479,4.275653634,10.06601217,7.619224271,12.10999588,10.89189653,0.178571429,0.164383562,0.135458167,0.176,0.180487805,0.1875,0.17260274,0.142231075,0.1848,0.189512195,0.196875,0.181232877,0.149342629,0.1936,0.198987805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19503555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,26.803333,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,1
11302,89.425,90.63,90.215,88.84583333,90.73,102.375,99.38,100.145,102.4,101.61,87.385,90.13,88.32,88.28,88.64,13.03761385,11.01213422,12.14221047,11.59522097,10.24978536,19.4257014,13.10902742,15.87395587,18.49667538,16.43295165,14.63978398,11.71516539,15.18191688,13.56317072,15.55195808,9.55,8.333333333,7.9,8.355555556,7.406666667,17.0,10.74666667,12.18666667,13.8,14.42666667,11.37333333,8.913333333,11.34666667,9.7,10.90666667,45.8,40.8,38.4,53.2,38.4,40.0,35.8,36.0,43.6,34.2,44.6,38.8,37.8,51.4,37.2,6.794115101,9.967948636,6.468384652,10.4,9.728309206,8.366600265,9.410632285,7.823042886,5.885575588,6.046486583,4.758150901,8.207313811,7.082372484,9.583318841,6.968500556,0.253275109,0.220588235,0.25,0.244360902,0.270833333,0.295,0.195530726,0.238888889,0.224770642,0.263157895,0.291479821,0.226804124,0.28042328,0.303501946,0.279569892,0.1472447,0.0,0.0,0.31999847,0.2540494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31999826,0.0,0.0,0.0,0.23088942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2540867,0.0,3.0,0.0,0.0,18.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,32.317333,32.0,32.0,32.214447,24.506578,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,35.14678,32.0,32.0,32.0,31.505737,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,30.921103,32.0,0
29405,82.535,83.09,81.83,86.655,80.755,86.66175,87.2445,85.9215,90.98775,84.79275,90.9948375,91.606725,90.217575,95.5371375,89.0323875,11.46207987,9.417637708,8.729725082,10.26749604,7.929910151,12.03518386,9.888519593,9.166211336,10.78087084,8.326405659,12.63694306,10.38294557,9.624521903,11.31991438,8.742725941,7.733333333,6.526666667,6.773333333,6.8,4.773333333,8.12,6.853,7.112,7.14,5.012,8.526,7.19565,7.4676,7.48,5.2626,32.8,37.2,35.6,28.6,41.4,34.44,39.06,37.38,30.03,43.47,36.162,41.013,39.249,31.46,45.6435,5.153639491,9.641576635,6.711184694,9.221713507,2.244994432,5.411321466,10.12365547,7.046743929,9.682799182,2.357244154,5.681887539,10.62983824,7.399081125,10.14388486,2.475106361,0.164634146,0.161290323,0.129213483,0.076923077,0.202898551,0.172865853,0.169354839,0.135674157,0.080769231,0.213043479,0.181509146,0.177822581,0.142457865,0.084615385,0.223695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1505915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,35.420593,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0
11601,86.86,86.145,89.91666667,87.17,86.195,95.06,93.7,95.695,93.425,93.615,103.26,101.255,101.4733333,99.68,101.035,12.38884175,14.48745923,11.85536681,12.64496342,12.61711041,12.24293266,15.13010245,11.93605777,12.80862502,13.48700393,12.09702357,15.77274567,12.01674873,12.97228662,14.35689745,8.973333333,10.78,8.811111111,9.346666667,10.4,9.04,11.00666667,8.1,9.34,9.466666667,9.106666667,11.23333334,7.388888889,9.333333333,8.533333334,42.6,51.6,48.0,49.2,47.6,34.4,38.6,34.0,38.4,37.4,26.2,25.6,20.0,27.6,27.2,10.38460399,11.35957746,4.242640687,5.455272679,6.711184694,6.829348432,8.212186067,5.761944116,8.260750571,1.854723699,3.274092874,5.064794674,7.281247545,11.06622846,-3.001737296,0.267605634,0.279069767,0.241666667,0.308943089,0.277310924,0.226744186,0.274611399,0.182352941,0.302083333,0.229946524,0.185882738,0.270153031,0.123039215,0.295223577,0.182582124,0.0,0.0,0.0,0.2591856,0.0,0.293769,0.0,0.0,0.19127615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20849366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20190376,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,32.0,32.0,32.0,23.216858,32.0,28.253223,32.0,32.0,28.509731,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.14918,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,24.133333,0
23604,85.04,88.48,84.575,86.295,87.695,91.79166667,93.21,93.7,92.4,94.24,98.54333334,97.94,102.825,98.505,100.785,12.8258489,11.25058221,14.27322231,12.86633106,12.71064416,13.32194045,11.41678151,13.57663434,12.24283464,12.55226673,13.818032,11.58298081,12.88004637,11.61933822,12.3938893,9.4,8.553333333,11.03333333,9.926666667,9.76,9.016666667,7.893333333,10.12222222,9.113333333,9.193333333,8.633333334,7.233333333,9.21111111,8.299999999,8.626666666,48.0,44.2,54.2,52.0,47.8,39.8,36.4,39.4,36.8,34.2,31.6,28.6,24.6,21.6,20.6,9.818350167,7.138627319,3.655133376,8.074651695,9.579144012,9.947864092,7.445804188,6.590902821,5.455272679,3.969886648,10.07737802,7.752981057,9.526672266,2.835893663,-1.639370716,0.325,0.294117647,0.247232472,0.207692308,0.209205021,0.251256281,0.263736264,0.177664975,0.260869565,0.187134503,0.177512562,0.233354881,0.108097478,0.314046822,0.165063985,0.0,0.0,0.0,0.2295317,0.0,0.0,0.14307502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,32.0,32.0,30.627357,32.0,32.0,31.931292,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0
16401,86.67,89.8625,91.125,90.385,87.385,86.085,89.04,90.6025,87.28083333,86.58666667,85.5,88.2175,90.08,84.17666666,85.78833334,12.79066456,13.87722392,12.62049425,11.31486964,11.38684658,13.60156027,15.36126297,15.99062466,14.98235237,15.02683673,14.41245598,16.84530202,19.36075507,18.6498351,18.66682688,8.753333333,10.02222222,11.88666667,8.14,11.71333333,7.715555556,10.46222222,9.065555556,8.137777778,9.907777778,6.677777779,10.90222222,6.244444442,8.135555556,8.102222226,42.4,43.4,41.4,43.8,46.6,44.4,42.4,40.4,41.0,46.6,46.4,41.4,39.4,38.2,46.6,7.2277244,4.630334761,5.885575588,7.984985911,7.709734107,12.5952372,7.059745038,4.882622246,9.654014709,8.822698,17.96275,9.489155315,3.879668904,11.32304351,9.935661893,0.226415094,0.258064516,0.231884058,0.292237443,0.231759657,0.234234234,0.235849057,0.212871287,0.23902439,0.231759657,0.242053374,0.213633598,0.193858516,0.185811337,0.231759657,0.2328123,0.0,0.0,0.0,0.0,0.2584032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2298119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26.6733345,32.0,32.0,32.0,32.0,30.933334,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,35.491398,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0
1304,99.14,98.62,98.77,97.685,96.02,95.48,94.97,95.525,94.565,90.76,95.93,98.195,96.49,96.565,92.325,11.2732604,10.60413127,10.35114003,12.1674679,11.73224616,13.00948116,13.53285262,11.79257711,14.6418672,13.24992075,14.07178382,12.74360526,14.47822158,12.56038515,14.41283716,7.286666667,8.113333333,7.106666667,8.76,8.446666667,9.773333333,7.36,7.933333333,10.46666667,9.44,9.98,8.326666667,10.09333333,8.573333333,10.82666667,37.6,37.6,39.2,38.0,35.2,40.2,38.0,44.0,38.6,37.8,24.4,24.6,30.4,20.0,23.0,3.498571137,8.979977728,5.491812087,8.671793355,8.158431222,6.554387843,9.797958971,5.291502622,10.13114011,11.4437756,7.088018059,6.343500611,4.8,3.577708764,4.335896678,0.180851064,0.143617021,0.198979592,0.178947368,0.232954545,0.208955224,0.210526316,0.213636364,0.212435233,0.296296296,0.336065574,0.308943089,0.414473684,0.39,0.460869565,0.0,0.0,0.0,0.0,0.0,0.0,0.17509645,0.0,0.0,0.0,0.0,0.0,0.0,0.17311378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,32.0,32.0,32.0,32.0,32.0,35.05104,32.0,32.0,32.0,32.0,32.0,32.0,37.35889,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0
